FileName = C:\Escalation\Winbond\0892100 (TAALDH02)\300169157 FOUP Unload Abnormal\20191016_log\log\Logs\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_02

LogCount = 1427
          Ascii(1)  17  :VFD_10_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  13  :VFD_10_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  12  :VFD_10_DELAY
          Ascii(1)   1  :0
    List (1)   2
      UInt2(1)   2  :1280 (500h)
      List (1) 103
        List (1)   2
          Ascii(1)  10  :Step0_Name
          Ascii(1)   5  :Ready
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step0_Flags
          Ascii(1)   6  :HOSTPP
        List (1)   2
          Ascii(1)  10  :Step0_Time
          Ascii(1)   7  :0001.00
        List (1)   2
          Ascii(1)  17  :Step0_AnalogDelay
          Ascii(1)   3  :1.0
        List (1)   2
          Ascii(1)  14  :Step0_KeyAbort
          Ascii(1)   9  :000:Ready
        List (1)   2
          Ascii(1)  12  :Step0_Cycles
          Ascii(1)   4  :0000
        List (1)   2
          Ascii(1)  15  :Step0_AIO_FC500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step0_PS_SOURCE_1_NAME
          Ascii(1)   2  :S5
        List (1)   2
          Ascii(1)  24  :Step0_PS_SOURCE_1_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step0_AIO_FC600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step0_PS_SOURCE_2_NAME
          Ascii(1)   2  :S6
        List (1)   2
          Ascii(1)  24  :Step0_PS_SOURCE_2_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step0_AIO_FC700
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step0_PS_SOURCE_5_NAME
          Ascii(1)   2  :S7
        List (1)   2
          Ascii(1)  24  :Step0_PS_SOURCE_5_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step0_AIO_FC800
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step0_PS_SOURCE_6_NAME
          Ascii(1)   2  :S8
        List (1)   2
          Ascii(1)  24  :Step0_PS_SOURCE_6_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step0_AIO_FC101
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT201
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT204
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V105
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V104
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V202
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V203
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V201
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V198
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V299
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT701
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V170
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V271
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT801
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V180
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V281
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AIO_RCPress
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  18  :Step0_AIO_TH.Valve
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)   9  :Step0_SUS
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT202
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT210
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT501
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT601
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT700
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_PT800
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_O3CON
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_FM201
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_FM500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_AI_FM600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_AI_TE6
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_AI_TE7
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_AI_TE8
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  19  :Step0_AI_RecipeStep
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_SusPulse
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  15  :Step0_AI_Ratio8
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio704
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio804
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio706
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio806
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio707
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step0_AI_Ratio807
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  15  :Step0_AI_Ratio4
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  15  :Step0_AI_Ratio6
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_TC_TE1
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE708
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_TC_TE3
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE808
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE200
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE700
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE701
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE702
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE704
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE705
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE800
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE801
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE802
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE804
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE805
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE706
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE806
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE707
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step0_TC_TE807
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_TC_TE4
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_TC_TE6
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_TC_TE7
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step0_TC_TE8
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_V206
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_O3RE
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step0_DO_O3SS
          Ascii(1)   8  :NOCHANGE
    List (1)   2
      UInt2(1)   2  :1281 (501h)
      List (1) 100
        List (1)   2
          Ascii(1)  10  :Step1_Name
          Ascii(1)   4  :Open
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Notes
          Ascii(1)   8  :NoChange
        List (1)   2
          Ascii(1)  11  :Step1_Flags
          Ascii(1)  12  :START HOSTPP
        List (1)   2
          Ascii(1)  10  :Step1_Time
          Ascii(1)   7  :0002.00
        List (1)   2
          Ascii(1)  17  :Step1_AnalogDelay
          Ascii(1)   3  :1.0
        List (1)   2
          Ascii(1)  14  :Step1_KeyAbort
          Ascii(1)   9  :015:Abort
        List (1)   2
          Ascii(1)  12  :Step1_Cycles
          Ascii(1)   4  :0000
        List (1)   2
          Ascii(1)  15  :Step1_AIO_FC500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step1_PS_SOURCE_1_NAME
          Ascii(1)   2  :S5
        List (1)   2
          Ascii(1)  24  :Step1_PS_SOURCE_1_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step1_AIO_FC600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step1_PS_SOURCE_2_NAME
          Ascii(1)   2  :S6
        List (1)   2
          Ascii(1)  24  :Step1_PS_SOURCE_2_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step1_AIO_FC700
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step1_PS_SOURCE_5_NAME
          Ascii(1)   2  :S7
        List (1)   2
          Ascii(1)  24  :Step1_PS_SOURCE_5_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step1_AIO_FC800
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  22  :Step1_PS_SOURCE_6_NAME
          Ascii(1)   2  :S8
        List (1)   2
          Ascii(1)  24  :Step1_PS_SOURCE_6_ACTION
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  15  :Step1_AIO_FC101
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT201
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT204
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step1_DO_V105
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  13  :Step1_DO_V104
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  13  :Step1_DO_V202
          Ascii(1)   5  :Close
        List (1)   2
          Ascii(1)  13  :Step1_DO_V203
          Ascii(1)   5  :Close
        List (1)   2
          Ascii(1)  13  :Step1_DO_V201
          Ascii(1)   4  :Open
        List (1)   2
          Ascii(1)  13  :Step1_DO_V198
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  13  :Step1_DO_V299
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT701
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step1_DO_V170
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  13  :Step1_DO_V271
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT801
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  13  :Step1_DO_V180
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  13  :Step1_DO_V281
          Ascii(1)   3  :---
        List (1)   2
          Ascii(1)  17  :Step1_AIO_RCPress
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  18  :Step1_AIO_TH.Valve
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)   9  :Step1_SUS
          Ascii(1)   4  :NONE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT202
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT210
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT501
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT601
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT700
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_PT800
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_O3CON
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_FM201
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_FM500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_AI_FM600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step1_AI_TE6
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step1_AI_TE7
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step1_AI_TE8
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  19  :Step1_AI_RecipeStep
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_SusPulse
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  15  :Step1_AI_Ratio8
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio704
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio804
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio500
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio600
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio706
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio806
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio707
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  17  :Step1_AI_Ratio807
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  15  :Step1_AI_Ratio4
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  15  :Step1_AI_Ratio6
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step1_TC_TE1
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_TC_TE708
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  12  :Step1_TC_TE3
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_TC_TE808
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_TC_TE200
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_TC_TE700
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_TC_TE701
          Ascii(1)   8  :NOCHANGE
        List (1)   2
          Ascii(1)  14  :Step1_TC_TE702
          Ascii(1)   8  :NOCHANGE
        List (1)   2
